valsts,admin_vien,terit_vien,apdz_vieta,iela,maja,index,korpuss,vzd_id,distance,x,y,adrese,lon,lat,starting_lat,starting_lon
"Latvija","Rīga","Ziemeļu rajons","Rīga","Krišjāņa Valdemāra iela","1C","LV-1010","","101844840","10","506324.61","6312157.01","Krišjāņa Valdemāra iela 1C, Rīga, Ziemeļu raj., Latvija","24.103981","56.952983","56.953004","24.104149"
"Latvija","Rīga","Latgales priekšpilsēta","Rīga","Krasta iela","105A","LV-1019","","101843646","17","510262.55","6308642.23","Krasta iela 105A, Rīga, Latgales pr-pilsēta, Latvija","24.168581","56.921337","56.921392","24.168849"
